"Adversarial","Cursed Blades Cast Upon the Slavescum of Christ"
"Adversarial","Cursed Blades Cast Upon the Slavescum of Christ"
"Ragnarok","Psychopathology"
"Ragnarok","Psychopathology"
"Vader","Incarnation"
"Vader","Incarnation"
"Lemur Voice","Deep Inside"
"Lemur Voice","Deep Inside"
"Dark Tranquillity","Terminus (Where Death is Most Alive)"
"Dark Tranquillity","Terminus (Where Death is Most Alive)"
"Meshuggah","Sovereigns morbidity"
"Meshuggah","Sovereigns morbidity"
"The Word Alive","Oxy"
"The Word Alive","Oxy"
"In Flames","Trigger"
"In Flames","Trigger"
"The Guess Who","No Sugar Tonight / New Mother Nature"
"The Guess Who","No Sugar Tonight / New Mother Nature"
"CKY","Flesh Into Gear"
"CKY","Flesh Into Gear"
"Marillion","Easter"
"Marillion","Easter"
"Van Der Graaf Generator","Refugees - 2005 Digital Remaster"
"Van Der Graaf Generator","Refugees - 2005 Digital Remaster"
"Asking Alexandria","We'll Be OK"
"Asking Alexandria","We'll Be OK"
"Avantasia","Babylon Vampyres"
"Avantasia","Babylon Vampyres"
"Destiny Potato","Lunatic"
"Destiny Potato","Lunatic"
"Insomnium","Song of the Storm"
"Insomnium","Song of the Storm"
"Autopsy","Seeds Of The Doomed"
"Autopsy","Seeds Of The Doomed"
"Destrage","Purania"
"Destrage","Purania"
"Gorguts","Orphans Of Sickness"
"Gorguts","Orphans Of Sickness"
"Candlemass","The Edge Of Heaven"
"Candlemass","The Edge Of Heaven"
"Dark Buddha Rising","E S O"
"Dark Buddha Rising","E S O"
"Hopes Die Last","Alpha Wolves"
"Hopes Die Last","Alpha Wolves"
"Evgen_jr","The Conqueror"
"Evgen_jr","The Conqueror"
"Disincarnate","Sea Of Tears"
"Disincarnate","Sea Of Tears"
"Darke Complex","Slime"
"Darke Complex","Slime"
"Inanimate Existence","Dharmakaya"
"Inanimate Existence","Dharmakaya"
"Ayreon","Journey On the Waves of Time"
"Ayreon","Journey On the Waves of Time"
"Norther","Beneath (Instrumental)"
"Norther","Beneath (Instrumental)"
"Chelou","Like a Dream - Demo"
"Chelou","Like a Dream - Demo"
"Karnivool","Aeons"
"Karnivool","Aeons"
"Deviant Process","Persecution"
"Deviant Process","Persecution"
"Uncle Acid & The Deadbeats","Melody Lane"
"Uncle Acid & The Deadbeats","Melody Lane"
"Lamb of God","Walk with Me In Hell"
"Lamb of God","Walk with Me In Hell"
"Native Construct","Come Hell or High Water"
"Native Construct","Come Hell or High Water"
"Dave Kerzner","Stranded (Part 1-5)"
"Dave Kerzner","Stranded (Part 1-5)"
"Arkona","Skvoz' Tuman Vekov"
"Arkona","Skvoz' Tuman Vekov"
"Laura","It's Kind Of Like The Innocent Smiles You Get At The Start Of A Relationship Before You Fuck Everything Up"
"Laura","It's Kind Of Like The Innocent Smiles You Get At The Start Of A Relationship Before You Fuck Everything Up"
"Shrinebuilder","The Architect"
"Shrinebuilder","The Architect"
"Into Eternity","Spiraling into Depression"
"Into Eternity","Spiraling into Depression"
"The Dillinger Escape Plan","Understanding Decay"
"The Dillinger Escape Plan","Understanding Decay"
"Municipal Waste","Terror Shark"
"Municipal Waste","Terror Shark"
"Dream Theater","Learning To Live"
"Dream Theater","Learning To Live"
"Teramaze","Trapeze"
"Teramaze","Trapeze"
"Steamhammer","Another Travelling Tune - Remastered"
"Steamhammer","Another Travelling Tune - Remastered"
"Gong","The Isle of Everywhere - 2015 Remaster"
"Gong","The Isle of Everywhere - 2015 Remaster"
"Adestria","The Masquerade"
"Adestria","The Masquerade"
"Andromeda","The Words Unspoken"
"Andromeda","The Words Unspoken"
"The Reasoning","Chasing Rainbows"
"The Reasoning","Chasing Rainbows"
"Queensrÿche","Silent Lucidity - 2003 - Remaster"
"Queensrÿche","Silent Lucidity - 2003 - Remaster"
"Kamelot","Call of the Sea"
"Kamelot","Call of the Sea"
"Crossroads Performance Tracks","Looking For A City (Performance Track High with Background Vocals in F)"
"Crossroads Performance Tracks","Looking For A City (Performance Track High with Background Vocals in F)"
"Bosque","Paradox"
"Bosque","Paradox"
"Asking Alexandria","The Lost Souls"
"Asking Alexandria","The Lost Souls"
"The Contortionist","Expire"
"The Contortionist","Expire"
"Whispered","Sakura Omen"
"Whispered","Sakura Omen"
"In Hearts Wake","Wildfire"
"In Hearts Wake","Wildfire"
"Opeth","The Night and the Silent Water"
"Opeth","The Night and the Silent Water"
"Sundowning","Heartless"
"Sundowning","Heartless"
"Bedhead","Parade"
"Bedhead","Parade"
"Still Remains","The Worst Is Yet To Come"
"Still Remains","The Worst Is Yet To Come"
"Decrepit Birth","(A Departure Of The Sun) Ignite The Tesla Coil"
"Decrepit Birth","(A Departure Of The Sun) Ignite The Tesla Coil"
"Dark Tranquillity","UnDo Control"
"Dark Tranquillity","UnDo Control"
"Leprous","The Flood"
"Leprous","The Flood"
"I See Stars","Murder Mitten"
"I See Stars","Murder Mitten"
"The Butterfly Effect","Worlds On Fire"
"The Butterfly Effect","Worlds On Fire"
"Black Tusk","God's on Vacation"
"Black Tusk","God's on Vacation"
"Esfera","All The Colours of Madness"
"Esfera","All The Colours of Madness"
"Riverside","02 Panic Room"
"Riverside","02 Panic Room"
"Every Time I Die","Wanderlust"
"Every Time I Die","Wanderlust"
"All That Remains","Two Weeks"
"All That Remains","Two Weeks"
"Ehnahre, Ryan McGuire, Richard Chowenhill, Jared Redmond, Ricardo Donoso","At Last Absent From My Head"
"Ehnahre, Ryan McGuire, Richard Chowenhill, Jared Redmond, Ricardo Donoso","At Last Absent From My Head"
"Gaelic Storm","Irish Breakfast Day"
"Gaelic Storm","Irish Breakfast Day"
"Tyler, The Creator","Yonkers"
"Tyler, The Creator","Yonkers"
"Opeth","The Moor"
"Opeth","The Moor"
"Krallice","The Clearing"
"Krallice","The Clearing"
"Synestesia","Merituuli"
"Synestesia","Merituuli"
"Russian Circles","Youngblood"
"Russian Circles","Youngblood"
"The White Noise","Picture Day"
"The White Noise","Picture Day"
"Athletics","I (Find Yourself)"
"Athletics","I (Find Yourself)"
"Edge Of Sanity","Of Darksome Origin"
"Edge Of Sanity","Of Darksome Origin"
"Beheaded","Lament of a Sordid God"
"Beheaded","Lament of a Sordid God"
"Avenged Sevenfold","Critical Acclaim"
"Avenged Sevenfold","Critical Acclaim"
"Jered Youngbar","Nova Neighbors"
"Jered Youngbar","Nova Neighbors"
"Killswitch Engage","Life To Lifeless"
"Killswitch Engage","Life To Lifeless"
"O'Brother","Endless Light"
"O'Brother","Endless Light"
"Carcass","Exhume To Consume"
"Carcass","Exhume To Consume"
"Life Long Tragedy","Time Stands Still"
"Life Long Tragedy","Time Stands Still"
"Affiance","Blackout"
"Affiance","Blackout"
"Frank Zappa","Waka/Jawaka"
"Frank Zappa","Waka/Jawaka"
"The Absence","Enemy Unbound"
"The Absence","Enemy Unbound"
"Godspeed You! Black Emperor","Storm"
"Godspeed You! Black Emperor","Storm"
"Eyehategod","Sister Fucker (Pt. I)"
"Eyehategod","Sister Fucker (Pt. I)"
"The Crimson Armada","Revelations"
"The Crimson Armada","Revelations"
"Primordial","As Rome Burns"
"Primordial","As Rome Burns"
"Cynic","Integral Birth"
"Cynic","Integral Birth"
"My Ticket Home","The Truth Changes If We Both Lie"
"My Ticket Home","The Truth Changes If We Both Lie"
"The Amity Affliction","Give It All"
"The Amity Affliction","Give It All"
"Hacktivist","Unlike Us"
"Hacktivist","Unlike Us"
"Memphis May Fire","North Atlantic Vs North Carolina"
"Memphis May Fire","North Atlantic Vs North Carolina"
"Ambrosia","Mama Frog"
"Ambrosia","Mama Frog"
"This Or The Apocalypse","Americans"
"This Or The Apocalypse","Americans"
"Sodom","Spiritual Demise"
"Sodom","Spiritual Demise"
"Sun Worship","The Absolute Is Becoming"
"Sun Worship","The Absolute Is Becoming"
"Exotic Animal Petting Zoo","You Make Wonderful Pictures"
"Exotic Animal Petting Zoo","You Make Wonderful Pictures"
"Nuclear Assault","Cross of Iron"
"Nuclear Assault","Cross of Iron"
"Castle","Temple of the Lost"
"Castle","Temple of the Lost"
"Miss May I","Descending Discovery"
"Miss May I","Descending Discovery"
"The Great Republic of Rough and Ready","Mother's Last Words to Her Son"
"The Great Republic of Rough and Ready","Mother's Last Words to Her Son"
"If These Trees Could Talk","The Sun is in the North"
"If These Trees Could Talk","The Sun is in the North"
"The Absence","The Bridge"
"The Absence","The Bridge"
"Steve Walsh","After"
"Steve Walsh","After"
"Esperanza Spalding","Funk The Fear"
"Esperanza Spalding","Funk The Fear"
"Claws","Bloodsucking Sorcery"
"Claws","Bloodsucking Sorcery"
"Thought Chamber","Transmigration of Souls"
"Thought Chamber","Transmigration of Souls"
"Underoath","Sunburnt"
"Underoath","Sunburnt"
"Wishbone Ash","Throw Down The Sword"
"Wishbone Ash","Throw Down The Sword"
"Periphery","Heavy Heart"
"Periphery","Heavy Heart"
"Gorguts","Sweet silence"
"Gorguts","Sweet silence"
"Cannibal Corpse","Absolute Hatred"
"Cannibal Corpse","Absolute Hatred"
"Decapitated","Revelation of Existence (The Trip)"
"Decapitated","Revelation of Existence (The Trip)"
"Nevermore","Dreaming Neon Black"
"Nevermore","Dreaming Neon Black"
"Skyclad","The Sky Beneath My Feet"
"Skyclad","The Sky Beneath My Feet"
"Darke Complex","Intrusive Thoughts"
"Darke Complex","Intrusive Thoughts"
"Make Me A Donut","Nominatus Padre"
"Make Me A Donut","Nominatus Padre"
"Shai Hulud","Set Your Body Ablaze"
"Shai Hulud","Set Your Body Ablaze"
"Marry Me Ocean","My Life As An Epilogue"
"Marry Me Ocean","My Life As An Epilogue"
"Wolves In The Throne Room","Ex Cathedra"
"Wolves In The Throne Room","Ex Cathedra"
"Turisas","The March of the Varangian Guard"
"Turisas","The March of the Varangian Guard"
"Every Time I Die","Touch Yourself"
"Every Time I Die","Touch Yourself"
"The Safety Fire","Mouth of Swords"
"The Safety Fire","Mouth of Swords"
"The Kool & The Band","Happiness Is a Warm Gun"
"The Kool & The Band","Happiness Is a Warm Gun"
"Jon Anderson","Meeting (Garden Of Geda) / Sound Out The Galleon"
"Jon Anderson","Meeting (Garden Of Geda) / Sound Out The Galleon"
"Blotted Science","Laser Lobotomy"
"Blotted Science","Laser Lobotomy"
"Stormlord","Dance of Hecate"
"Stormlord","Dance of Hecate"
"blessthefall","Against the Waves"
"blessthefall","Against the Waves"
"We Deserve This","By the End of the Year I Will Be Dead"
"We Deserve This","By the End of the Year I Will Be Dead"
"Birdy Nam Nam","Too Much Skunk Tonight!"
"Birdy Nam Nam","Too Much Skunk Tonight!"
"Sloth","Lord Of The Gallows"
"Sloth","Lord Of The Gallows"
"Flotsam & Jetsam","No Place For Disgrace"
"Flotsam & Jetsam","No Place For Disgrace"
"Kataklysm","Marching Through Graveyards"
"Kataklysm","Marching Through Graveyards"
"Swag Toof","In with the New"
"Swag Toof","In with the New"
"O'Brother","Ascension"
"O'Brother","Ascension"
"Black Veil Brides","In The End"
"Black Veil Brides","In The End"
"Unconditional Arms","Feud"
"Unconditional Arms","Feud"
"Manowar","Battle Hymn"
"Manowar","Battle Hymn"
"Bring Me The Horizon","Crooked Young"
"Bring Me The Horizon","Crooked Young"
"Phunk Unique","What a Day"
"Phunk Unique","What a Day"
"Arch Enemy","War Eternal"
"Arch Enemy","War Eternal"
"The Algorithm, Igorrr","deadlock"
"The Algorithm, Igorrr","deadlock"
"Code I","As We Walk Amongst These Harboured Dreams"
"Code I","As We Walk Amongst These Harboured Dreams"
"Motionless In White","Du Hast"
"Motionless In White","Du Hast"
"Rush","Tears"
"Rush","Tears"
"Medieval Steel","Medieval Steel"
"Medieval Steel","Medieval Steel"
"Northlane","Dispossession"
"Northlane","Dispossession"
"Meghan Trainor","Title"
"Meghan Trainor","Title"
"Brian Eno","Sky Saw - 2004 Digital Remaster"
"Brian Eno","Sky Saw - 2004 Digital Remaster"
"Opeth","Folklore"
"Opeth","Folklore"
"Pelican","Glimmer"
"Pelican","Glimmer"
"The Dillinger Escape Plan","When I Lost My Bet"
"The Dillinger Escape Plan","When I Lost My Bet"
"Tormentor","tormentor I"
"Tormentor","tormentor I"
"Dark Funeral","Where Shadows Forever Reign"
"Dark Funeral","Where Shadows Forever Reign"
"Trap Them","Salted Crypts"
"Trap Them","Salted Crypts"
"Blotted Science","Bleeding In The Brain"
"Blotted Science","Bleeding In The Brain"
"Mechina, Melrose","The Horizon Effect (feat. Mel Rose)"
"Mechina, Melrose","The Horizon Effect (feat. Mel Rose)"
"Parkway Drive","Dark Days"
"Parkway Drive","Dark Days"
"August Burns Red","White Washed"
"August Burns Red","White Washed"
"Archgoat","Luciferian Darkness"
"Archgoat","Luciferian Darkness"
"Dark Tranquillity","The Mundane and the Magic (Live in Milan 2008)"
"Dark Tranquillity","The Mundane and the Magic (Live in Milan 2008)"
"The Fractured Dimension","Bolshevikian Mythological Creature"
"The Fractured Dimension","Bolshevikian Mythological Creature"
"The Sun Explodes","The Unnatural"
"The Sun Explodes","The Unnatural"
"Gazpacho","Molok Rising"
"Gazpacho","Molok Rising"
"Crossfaith","Monolith"
"Crossfaith","Monolith"
"Gorgoroth","Open the Gates"
"Gorgoroth","Open the Gates"
"Gamma Ray","Somewhere Out In Space"
"Gamma Ray","Somewhere Out In Space"
"Lost In the Riots","She Can't See Us If We Don't Move"
"Lost In the Riots","She Can't See Us If We Don't Move"
"We Dream Alone","Transcending, But Still Tethered To This Earth"
"We Dream Alone","Transcending, But Still Tethered To This Earth"
"Chorder","Rapscallion"
"Chorder","Rapscallion"
"Party Cannon","Tyrone, You Put That Sugar Down"
"Party Cannon","Tyrone, You Put That Sugar Down"
"For Today","White Flag"
"For Today","White Flag"
"Scar Symmetry","Technocalyptic Cybergeddon"
"Scar Symmetry","Technocalyptic Cybergeddon"
"Sigh","The Forlorn"
"Sigh","The Forlorn"
"After The Burial","Parise"
"After The Burial","Parise"
"Tyrant","Free For All"
"Tyrant","Free For All"
"This Town Needs Guns","Crocodile"
"This Town Needs Guns","Crocodile"
"Last Chance To Reason","The Dictator"
"Last Chance To Reason","The Dictator"
"Kaipa","End of the Rope"
"Kaipa","End of the Rope"
"Trivium","Throes Of Perdition"
"Trivium","Throes Of Perdition"
"The Moody Blues","The Best Way To Travel"
"The Moody Blues","The Best Way To Travel"
"Exhumed","As Hammer To Anvil"
"Exhumed","As Hammer To Anvil"
"Sharks Keep Moving","Sailor"
"Sharks Keep Moving","Sailor"
"After The Burial","Berzerker"
"After The Burial","Berzerker"
"We Came As Romans","Broken Statues"
"We Came As Romans","Broken Statues"
"We Dream Alone","Transcending, But Still Tethered To This Earth"
"We Dream Alone","Transcending, But Still Tethered To This Earth"
"The Dillinger Escape Plan","Sugar Coated Sour - Live"
"The Dillinger Escape Plan","Sugar Coated Sour - Live"
"Sean Ashe, Denis Chang","Creature"
"Sean Ashe, Denis Chang","Creature"
"Dead by April","What Can I Say"
"Dead by April","What Can I Say"
"Grave Digger","Rebellion (The Clans Are Marching)"
"Grave Digger","Rebellion (The Clans Are Marching)"
"Slomatics","Griefhound"
"Slomatics","Griefhound"
"Knut","Wyriwys"
"Knut","Wyriwys"
"The Amity Affliction","Youngbloods"
"The Amity Affliction","Youngbloods"
"Inter Arma","The Cavern"
"Inter Arma","The Cavern"
"Pain of Salvation","Beyond the Pale"
"Pain of Salvation","Beyond the Pale"
"Exhumation","Secrecy"
"Exhumation","Secrecy"
"Pestilence","Echoes Of Death"
"Pestilence","Echoes Of Death"
"The Body, Full Of Hell","Gehorwilt"
"The Body, Full Of Hell","Gehorwilt"
"Unearth","Shadows in the Light"
"Unearth","Shadows in the Light"
"Famous Last Words","The Fog"
"Famous Last Words","The Fog"
"Everything Goes Cold","I've Sold Your Organs On The Black Market To Finance The Purchase Of A Used Minivan - I Don't Want Those Organs If There's Cancer In Them Mix"
"Everything Goes Cold","I've Sold Your Organs On The Black Market To Finance The Purchase Of A Used Minivan - I Don't Want Those Organs If There's Cancer In Them Mix"
"Candlemass","Tears"
"Candlemass","Tears"
"Stories","Highwater"
"Stories","Highwater"
"Children of Nova","The Complexity of Light"
"Children of Nova","The Complexity of Light"
"Chon","Perfect Pillow"
"Chon","Perfect Pillow"
"Helloween","Wake Up the Mountain"
"Helloween","Wake Up the Mountain"
"The Moody Blues","Higher And Higher"
"The Moody Blues","Higher And Higher"
"Adestria","The Odyssey"
"Adestria","The Odyssey"
"Toundra","Ara Caeli"
"Toundra","Ara Caeli"
"Wintersun","Beyond the dark sun"
"Wintersun","Beyond the dark sun"
"Scale The Summit","The Dark Horse"
"Scale The Summit","The Dark Horse"
"Anima Mundi","Cosmic Man"
"Anima Mundi","Cosmic Man"
"Crimson Glory","Masque of the Red Death"
"Crimson Glory","Masque of the Red Death"
"When the Angels Breathe","Save the Deer"
"When the Angels Breathe","Save the Deer"
"3","My Divided Falling"
"3","My Divided Falling"
"Between The Buried And Me","Turn on the Darkness"
"Between The Buried And Me","Turn on the Darkness"
"Northlane","The Calling"
"Northlane","The Calling"
"Ebonivory","Ouroboros"
"Ebonivory","Ouroboros"
"Persefone","The Majestic of Gaia"
"Persefone","The Majestic of Gaia"
"Shadows Fall","Destroyer Of Senses"
"Shadows Fall","Destroyer Of Senses"
"Hippo Campus","Dollar Bill"
"Hippo Campus","Dollar Bill"
"We Came As Romans","I Can't Make Your Decisions for You"
"We Came As Romans","I Can't Make Your Decisions for You"
"Moon Safari","Methuselah's Children"
"Moon Safari","Methuselah's Children"
"Symphony X","Accolade II"
"Symphony X","Accolade II"
"Cryptopsy","Slit Your Guts"
"Cryptopsy","Slit Your Guts"
"Gloryhammer","Goblin King Of The Darkstorm Galaxy"
"Gloryhammer","Goblin King Of The Darkstorm Galaxy"
"All That Remains","Focus Shall Not Fail"
"All That Remains","Focus Shall Not Fail"
"Get Scared","Suffer"
"Get Scared","Suffer"
"Ihsahn","Mass Darkness"
"Ihsahn","Mass Darkness"
"Rey Feo","Your Favorite Song"
"Rey Feo","Your Favorite Song"
"Macabre","Vampire Of Düsseldorf"
"Macabre","Vampire Of Düsseldorf"
"Underoath","Catch Myself Catching Myself"
"Underoath","Catch Myself Catching Myself"
"Suspyre","The Divided Son"
"Suspyre","The Divided Son"
"Underoath","Too Bright to See, Too Loud to Hear"
"Underoath","Too Bright to See, Too Loud to Hear"
"Cavalera Conspiracy","Ultra-Violent"
"Cavalera Conspiracy","Ultra-Violent"
"Sarcofago","Ready to Fuck"
"Sarcofago","Ready to Fuck"
"Every Time I Die","Partying Is Such Sweet Sorrow"
"Every Time I Die","Partying Is Such Sweet Sorrow"
"Yngwie Malmsteen","Fire And Ice"
"Yngwie Malmsteen","Fire And Ice"
